trace,variant,budget_CU,run,n_steps,spent_CU,env_winner,llm_stated_winner,llm_env_winner_agree,why_stop,infra_retries,malformed_turns,action_errors,frac_noncompetitive,CU_at_first_visible_mismatch,CU_at_first_backward,CU_at_first_reachability,canonical_order
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B200_r0_20260905T181137Z\trace.json,anonymous,200.0,0,26,147.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; further affordable actions have low expected decision value and are unlikely to alter the industrial candidate.",0,0,0,0.0,29.0,88.0,160.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B200_r1_20260905T181420Z\trace.json,anonymous,200.0,1,16,198.0,Fe,Fe,True,"agent STOP: Stopping is allowed because S1, S2, and S3 are satisfied. The remaining affordable actions have low expected value for changing the deterministic industrial decision; high-pressure edge risk for the highest-activity challenger was explicitly tested and did not overturn the ranking.",0,1,0,0.0,52.0,194.0,198.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B200_r2_20260905T181646Z\trace.json,anonymous,200.0,2,11,189.0,Fe,Fe,True,"agent STOP: S1 satisfied: feasible optimized current lowest-cost candidate candidate_13 identified. S3 satisfied: highest-activity candidate candidate_04 differs from candidate_13, BACKWARD and TEST_REACHABILITY executed, classification unreachable. S2 is incomplete only for candidate_05, but the remaining budg",0,0,0,0.0,184.0,185.0,189.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B200_r3_20260905T181813Z\trace.json,anonymous,200.0,3,10,189.0,Fe,Fe,True,"agent STOP: Remaining budget is 11 CU. The only unresolved candidate is candidate_05; resolving it requires full-window OPTIMIZE_PROCESS (~28.272 CU) or exact dominance CHECK_MODEL_VALIDITY dominance (28 CU), neither affordable. S1 and S3 are satisfied; S2 is not fully satisfied only because candidate_05 remain",0,0,0,0.0,155.0,185.0,189.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B200_r4_20260905T181940Z\trace.json,anonymous,200.0,4,11,189.0,Fe,Fe,True,"agent STOP: S1 is satisfied with feasible current lowest optimized candidate candidate_13. S3 is satisfied: the highest-activity candidate candidate_04 differs from candidate_13, parity was quantified, and reachability was classified unreachable. S2 is not fully formal because candidate_05 remains unresolved, b",0,0,0,0.0,155.0,185.0,189.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B250_r0_20260905T182059Z\trace.json,anonymous,250.0,0,14,218.0,Fe,Fe,True,"agent STOP: S1: candidate_13 is feasible and optimized as current lowest cost. S2: no unresolved candidate remains: higher-activity candidates candidate_04 and candidate_05 were optimized and are costlier; all lower-activity higher-price candidates are screened by the declared rule. S3: candidate_04, the highes",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B250_r1_20260905T182230Z\trace.json,anonymous,250.0,1,12,218.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible optimized lowest-cost candidate exists; S2 all candidates are optimized or screened by the declared dominance rule; S3 highest-activity candidate differs from winner and parity plus reachability have been executed and classified. Remaining affordable checks have ,0,0,0,0.0,213.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B250_r2_20260905T182340Z\trace.json,anonymous,250.0,2,14,218.0,Fe,Fe,True,"agent STOP: The industrial decision is stable under the stopping rule. Candidate_13 is feasible and lowest cost among optimized plausible contenders; all remaining candidates are screened dominated by candidate_13 using the declared rule. The highest-activity candidate, candidate_04, would need a 201.2x intrins",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B250_r3_20260905T182505Z\trace.json,anonymous,250.0,3,14,218.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; the deterministic decision is stable. Remaining affordable actions have low expected decision value, and the useful MC uncertainty comparison is unaffordable with the remaining budget.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B250_r4_20260905T182642Z\trace.json,anonymous,250.0,4,14,218.0,Fe,Fe,True,agent STOP: ,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B300_r0_20260905T182817Z\trace.json,anonymous,300.0,0,16,268.0,Fe,Fe,True,agent STOP: S1 is satisfied by feasible optimized candidate_13; S2 is satisfied because candidate_04 and candidate_05 were optimized and all other candidates are screened by lower reference activity plus higher metal price relative to candidate_13; S3 is satisfied because BACKWARD and TEST_REACHABILITY show can,0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B300_r1_20260905T182954Z\trace.json,anonymous,300.0,1,15,218.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible incumbent candidate_13 exists; S2 all candidates optimized or screened under the declared rule; S3 highest-activity nonwinner candidate_04 has BACKWARD and reachability classification; remaining affordable actions have low expected decision value for changing the,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B300_r2_20260905T183123Z\trace.json,anonymous,300.0,2,16,268.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 candidate_13 is feasible and current lowest-cost candidate; S2 all candidates are either optimized or screened by the declared lower-activity-and-higher-price dominance rule; S3 highest-activity candidate candidate_04 differs from the industrial choice and BACKWARD plus T,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B300_r3_20260905T183310Z\trace.json,anonymous,300.0,3,15,218.0,Fe,Fe,True,agent STOP: ,0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B300_r4_20260905T183434Z\trace.json,anonymous,300.0,4,16,268.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; no unresolved candidates remain under the declared screening rule; remaining affordable actions have low expected decision value for the canonical deterministic decision.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B500_r0_20260905T183558Z\trace.json,anonymous,500.0,0,17,268.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 candidate_13 is feasible and lowest among optimized candidates; S2 every candidate is optimized or screened as dominated by candidate_13 under the declared lower-activity-and-higher-price rule; S3 highest-activity candidate_04 differs from candidate_13, and BACKWARD plus ",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B500_r1_20260905T183726Z\trace.json,anonymous,500.0,1,16,218.0,Fe,Fe,True,agent STOP: Stopped because the deterministic industrial decision is stable under the stopping rule: candidate_13 is feasible and lowest cost among optimized plausible candidates; all other candidates are either optimized or screened by the declared lower-activity-and-higher-price rule; and the highest-activity,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B500_r2_20260905T183853Z\trace.json,anonymous,500.0,2,17,366.0,Fe,Fe,True,agent STOP: S1-S3 are satisfied. candidate_13 is feasible and nominally lowest cost; all other candidates are optimized among plausible higher-activity alternatives or screened by lower activity and higher price; highest-activity candidate_04 has BACKWARD and TEST_REACHABILITY completed and its required activit,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B500_r3_20260905T184049Z\trace.json,anonymous,500.0,3,17,268.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible optimized winner exists; S2 no unresolved candidate remains under optimization plus declared activity/price screening; S3 highest-activity candidate parity and reachability are complete and unreachable. Further affordable actions have low expected decision value ,0,0,0,0.0,155.0,214.0,268.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B500_r4_20260905T184217Z\trace.json,anonymous,500.0,4,12,218.0,Fe,Fe,True,agent STOP: candidate_13 is the lowest-cost feasible optimized candidate among the non-dominated set; all other candidates are optimized or screened. candidate_04 parity by activity alone is unreachable on the frozen descriptor manifold. Validity checks do not overturn the decision; remaining actions have low e,0,0,0,0.0,184.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B800_r0_20260905T181141Z\trace.json,anonymous,800.0,0,28,714.0,Fe,Fe,True,"agent STOP: S1, S2 and S3 are satisfied; no remaining affordable action has meaningful expected value for changing the fixed-domain industrial decision.",0,0,0,0.48739495798319327,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B800_r1_20260905T181310Z\trace.json,anonymous,800.0,1,17,268.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; best remaining expected decision value is below threshold for the frozen canonical industrial decision.",0,1,0,0.0,155.0,214.0,268.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B800_r2_20260905T181446Z\trace.json,anonymous,800.0,2,14,218.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: candidate_13 is feasible and lowest cost among optimized candidates; all other candidates are optimized and worse or screened as lower-activity and higher-price than candidate_13; highest-activity candidate candidate_04 has completed parity and reachability assessment and th,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B800_r3_20260905T181604Z\trace.json,anonymous,800.0,3,27,566.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 feasible optimized lowest-cost candidate identified (candidate_13), S2 no unresolved candidates because all 15 were optimized, and S3 completed because highest-activity candidate_04 differs from the winner and both parity and reachability were computed. Remaining affordab",0,0,0,0.6148409893992933,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B800_r4_20260905T181717Z\trace.json,anonymous,800.0,4,28,714.0,Fe,Fe,True,agent STOP: Stopping rule is satisfied: S1 candidate_13 is a feasible optimized lowest-cost candidate; S2 all 15 candidates have been optimized so none are unresolved; S3 highest-activity candidate_04 differs from candidate_13 and BACKWARD plus TEST_REACHABILITY have been executed with an unreachable classifica,0,0,0,0.48739495798319327,503.0,562.0,714.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B1200_r0_20260905T181911Z\trace.json,named,1200.0,0,29,714.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 Fe is a feasible optimized current lowest-cost candidate; S2 every candidate has been optimized; S3 the highest-activity candidate Ru differs from Fe, and BACKWARD plus TEST_REACHABILITY classified Ru parity as unreachable; S4 remaining affordable actions have low expecte",0,1,0,0.48739495798319327,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B1200_r1_20260905T182036Z\trace.json,named,1200.0,1,28,566.0,Fe,Fe,True,"agent STOP: S1 satisfied by feasible optimized Fe; S2 satisfied because every candidate was optimized; S3 satisfied because highest-activity Ru differs from Fe and BACKWARD plus TEST_REACHABILITY show parity requires 201.2x activity, unreachable on the frozen descriptor scaling manifold. Optional MC or lever te",0,0,0,0.6148409893992933,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B1200_r2_20260905T182207Z\trace.json,named,1200.0,2,29,714.0,Fe,Fe,True,"agent STOP: All candidates were optimized in the full admissible process window, so there are no unresolved candidates. Fe is the deterministic lowest-cost feasible candidate. Because the highest-activity candidate Ru differs from Fe, the required BACKWARD parity calculation and TEST_REACHABILITY were executed;",0,0,0,0.48739495798319327,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B1200_r3_20260905T182343Z\trace.json,named,1200.0,3,16,366.0,Fe,Fe,True,"agent STOP: S1 Fe is feasible and current lowest cost; S2 all candidates are optimized or screened by the declared rule; S3 Ru, the highest-activity candidate, has BACKWARD and TEST_REACHABILITY completed with unreachable parity requirement. Remaining actions have negligible expected decision value for the nomi",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B1200_r4_20260905T182529Z\trace.json,named,1200.0,4,29,1091.0,Fe,Fe,True,"agent STOP: Stopping is allowed because all candidates were optimized or found infeasible, Fe is the deterministic lowest-cost feasible candidate, and the required Ru-vs-Fe parity/reachability assessment is complete. Remaining possible actions, such as more lever tests or further MC refinement, would characteri",0,1,0,0.31897341888175984,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B2000_r0_20260905T182718Z\trace.json,named,2000.0,0,29,1303.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 Fe is a feasible optimized lowest-cost candidate; S2 every candidate has been optimized, leaving no unresolved candidates; S3 the highest atomic-activity candidate Ru differs from Fe, and BACKWARD plus TEST_REACHABILITY classify Ru's activity-only parity requirement as un",0,0,0,0.2670759785111282,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B2000_r1_20260905T182847Z\trace.json,named,2000.0,1,28,566.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 Feasible optimized candidate exists and Fe is lowest cost; S2 no unresolved candidates remain because all candidates were optimized; S3 highest-activity candidate Ru differs from Fe and parity plus reachability have been computed and classified unreachable. Remaining affo,0,1,0,0.6148409893992933,271.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B2000_r2_20260905T183018Z\trace.json,named,2000.0,2,18,857.0,Fe,Fe,True,"agent STOP: S1 satisfied (Fe feasible optimized deterministic cost leader), S2 satisfied (frontier activity leaders Ru/Os optimized; all other candidates screened by lower activity and higher price than Fe), S3 satisfied (Ru highest activity differs from Fe; BACKWARD and TEST_REACHABILITY executed and Ru activi",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B2000_r3_20260905T183142Z\trace.json,named,2000.0,3,29,714.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 Fe is feasible and has the lowest nominal full-window optimized canonical cost; S2 every candidate was optimized on the full process window, leaving no unresolved candidates; S3 Ru is the highest atomic-activity candidate but its required activity gain for Fe cost parity ",0,0,0,0.48739495798319327,271.0,562.0,714.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B2000_r4_20260905T183304Z\trace.json,named,2000.0,4,16,366.0,Fe,Fe,True,"agent STOP: S1, S2 and S3 are satisfied; remaining actions have low expected value for changing the nominal industrial decision.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B200_r0_20260905T181145Z\trace.json,named,200.0,0,19,103.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied. Fe is feasible and lowest cost among optimized plausible contenders; all other candidates are optimized or screened by the declared activity/price rule; Ru, the highest-activity candidate, has BACKWARD and TEST_REACHABILITY completed and is classified unreachable for activit",0,1,0,0.0,34.0,43.0,115.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B200_r1_20260905T181408Z\trace.json,named,200.0,1,13,192.0,Fe,Fe,True,"agent STOP: Stopping status after the final optimization reports S1, S2, and S3 satisfied. Remaining affordable calculations cannot overturn the decision; full Os optimization, exact dominance, model-validity checks, and MC uncertainty are not affordable with 8 CU remaining.",0,0,0,0.0,155.0,185.0,189.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B200_r2_20260905T181552Z\trace.json,named,200.0,2,26,174.0,Fe,Fe,True,"agent STOP: S1-S3 are satisfied: Fe is feasible and lowest among optimized plausible candidates, all remaining candidates are screened by the declared lower-activity/higher-price rule, and Ru-vs-Fe parity plus reachability has been quantified and classified unreachable. S4 holds because remaining affordable act",0,0,0,0.0,38.0,49.0,53.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B200_r3_20260905T181901Z\trace.json,named,200.0,3,28,156.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible lowest-cost candidate identified; S2 no unresolved candidates after optimizing Ru/Os and screening all lower-activity/higher-price candidates; S3 highest-activity candidate Ru has parity and reachability classified as unreachable. Remaining affordable calculation,0,0,0,0.0,38.0,49.0,53.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B200_r4_20260905T182148Z\trace.json,named,200.0,4,16,194.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 Fe is feasible and the current lowest-cost optimized candidate; S2 no unresolved candidates remain after optimizing Ru/Os and screening all lower-activity/higher-price candidates relative to Fe; S3 highest-activity Ru differs from Fe and has completed BACKWARD plus TEST_R,0,0,0,0.0,98.0,133.0,137.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B250_r0_20260905T182400Z\trace.json,named,250.0,0,14,218.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied. The remaining affordable actions have low expected decision value for changing the industrial decision; the only stochastic MC option considered is not affordable under the remaining budget.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B250_r1_20260905T182523Z\trace.json,named,250.0,1,15,218.0,Fe,Fe,True,"agent STOP: The stopping rule is satisfied: Fe is a feasible optimized lowest-cost candidate, every other candidate is optimized or screened by the declared rule, and Ru-vs-Fe BACKWARD plus TEST_REACHABILITY have classified the activity-parity requirement as unreachable. Remaining affordable actions have low ex",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B250_r2_20260905T182700Z\trace.json,named,250.0,2,13,218.0,Fe,Fe,True,"agent STOP: Fe is a feasible optimized incumbent and lowest among all optimized unscreenable candidates; all other candidates are either optimized or screened by the declared lower-activity/higher-price rule; Ru, the highest reference-activity candidate, requires a 201.2x intrinsic activity multiplier for parit",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B250_r3_20260905T182820Z\trace.json,named,250.0,3,14,218.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 Fe is feasible and optimized; S2 all candidates are either optimized (Fe, Ru, Os) or screened by the declared lower-activity/higher-price rule relative to Fe; S3 highest-activity candidate Ru differs from Fe and has completed parity and reachability classification, which ",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B250_r4_20260905T182943Z\trace.json,named,250.0,4,14,218.0,Fe,Fe,True,"agent STOP: Fe is the lowest-cost feasible optimized candidate. All non-optimized candidates are resolved by the declared activity/price screening rule, while Ru and Os, the high-activity exceptions, were explicitly optimized and are more expensive. Because the highest-activity candidate Ru is not the industria",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B300_r0_20260905T183109Z\trace.json,named,300.0,0,17,268.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 Fe is a feasible optimized lowest-cost incumbent; S2 all candidates are resolved by optimization or declared screening dominance; S3 highest-activity Ru differs from Fe and its activity-parity plus reachability classification were computed; S4 remaining meaningful afforda,0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B300_r1_20260905T183255Z\trace.json,named,300.0,1,17,268.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied. S1: Fe is feasible and has the lowest optimized canonical cost among unscreened/optimized candidates. S2: all candidates are either optimized (Fe, Ru, Os) or screened by the declared lower-reference-activity plus higher-price rule. S3: because Ru has the highest atomic activ",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B300_r2_20260905T183431Z\trace.json,named,300.0,2,16,268.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 satisfied; remaining affordable actions have low expected decision value and higher-draw MC is unaffordable.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B300_r3_20260905T183608Z\trace.json,named,300.0,3,15,218.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; remaining calculations have low expected value for changing the canonical deterministic decision.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B300_r4_20260905T183722Z\trace.json,named,300.0,4,13,218.0,Fe,Fe,True,"agent STOP: Fe is the lowest-cost feasible optimized candidate in the full admissible window. All remaining candidates are either optimized or screened by the declared lower-activity-and-higher-price rule. The highest-activity candidate Ru would need a 201.2x intrinsic-activity gain to match Fe, while the froze",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B500_r0_20260905T183857Z\trace.json,named,500.0,0,17,416.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied; remaining affordable actions have expected decision value below threshold or are unaffordable.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B500_r1_20260905T184103Z\trace.json,named,500.0,1,17,305.0,Fe,Fe,True,"agent STOP: S1, S2 and S3 are satisfied; remaining calculations have low expected value for changing the decision.",0,0,0,0.28524590163934427,155.0,301.0,305.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B500_r2_20260905T184232Z\trace.json,named,500.0,2,16,366.0,Fe,Fe,True,"agent STOP: Stopping rule is satisfied: S1 Fe is a feasible optimized full-window candidate and current lowest cost; S2 all candidates are either optimized (Fe/Ru/Os) or screened as deterministically dominated by Fe under the declared lower-activity-and-higher-price rule; S3 highest-activity Ru differs from Fe,",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B500_r3_20260905T184412Z\trace.json,named,500.0,3,15,218.0,Fe,Fe,True,agent STOP: S1-S3 satisfied and stopping allowed: Fe is feasible and lowest among optimized frontier candidates; all others optimized or screened by the declared dominance screen; Ru parity/reachability completed and classified unreachable.,0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\named\E_llm_agent_named_B500_r4_20260905T184540Z\trace.json,named,500.0,4,15,366.0,Fe,Fe,True,agent STOP: S1-S3 are satisfied: Fe is feasible and lowest cost among optimized plausible candidates; all other candidates are optimized or screened by the declared rule; Ru-vs-Fe parity and reachability are complete. Remaining actions have low expected decision value for the deterministic industrial decision.,0,1,0,0.0,155.0,214.0,218.0,True
